,status,code,severity,vehicle_id,vehicle_id1,account_id,vehicle_plate,time,manufacturer,max_load_capacity,description,time_miliseconds
0,active,P0087,2,1283982012520071168,1283982012520071168,1225921216322207744,312,2024-04-30T11:51:09.000Z,volvo,65000,Fuel Rail/System Pressure - Too Low Bank 1,1714458069000
1,active,P0087,2,1283982012520071168,1283982012520071168,1225921216322207744,312,2024-04-30T11:51:09.000Z,volvo,65000,Restriction in low pressure line,1714458069000
2,active,P0087,2,1283982012520071168,1283982012520071168,1225921216322207744,312,2024-04-30T11:51:09.000Z,volvo,65000,RAIL PRESSURE POSITIVE DEVIATION ERROR,1714458069000
3,active,P0087,2,1282104971390615552,1282104971390615552,1225921216322207744,167,2024-05-06T13:49:00.000Z,volvo,65000,Fuel Rail/System Pressure - Too Low Bank 1,1714983540000
4,active,P0087,2,1282104971390615552,1282104971390615552,1225921216322207744,167,2024-05-06T13:49:00.000Z,volvo,65000,Restriction in low pressure line,1714983540000
5,active,P0087,2,1282104971390615552,1282104971390615552,1225921216322207744,167,2024-05-06T13:49:00.000Z,volvo,65000,RAIL PRESSURE POSITIVE DEVIATION ERROR,1714983540000
